application_id,company_name,job_role,application_date,job_type,platform,status,salary_expectation,experience_required_years,company_rating
306,Google,ML Engineer,2024-02-02,Full-time,Indeed,Phone Screen,130417,1,2.8
307,Netflix,AI Research Intern,2024-02-18,Contract,Referral,Rejected,111816,4,2.8
308,OpenAI,Data Scientist,2024-01-29,Full-time,LinkedIn,Selected,52263,4,2.8
309,Spotify,Software Engineer,2024-03-03,Internship,Naukri,Applied,43565,1,2.8
310,Google,Data Analyst,2024-04-16,Internship,Indeed,Phone Screen,50354,3,2.8
311,Amazon,Frontend Developer,2024-01-22,Contract,Company Website,Phone Screen,72951,4,2.8
312,Microsoft,Data Analyst,2024-01-26,Internship,Company Website,Phone Screen,121179,2,2.8
313,Meta,AI Research Intern,2024-01-28,Full-time,Referral,Rejected,53648,3,2.8
314,Oracle,Software Engineer,2024-04-23,Internship,Company Website,Selected,80729,1,2.8
315,Adobe,Frontend Developer,2024-03-25,Full-time,Indeed,Rejected,71971,3,2.8
316,Oracle,AI Research Intern,2024-02-18,Full-time,Indeed,Interview Scheduled,48658,0,2.8
317,Amazon,Data Scientist,2024-03-11,Internship,Company Website,Phone Screen,51253,0,2.8
318,Uber,ML Engineer,2024-03-21,Contract,Indeed,Interview Scheduled,94166,4,2.8
319,Uber,Data Analyst,2024-03-24,Remote,Referral,Assessment Pending,78563,4,2.8
320,Microsoft,Backend Developer,2024-04-14,Internship,LinkedIn,Applied,56390,2,2.8
321,Adobe,Backend Developer,2024-02-18,Full-time,Referral,Applied,118664,3,2.8
322,Spotify,Software Engineer,2024-01-20,Full-time,Referral,Rejected,81578,0,2.8
323,Microsoft,Data Scientist,2024-04-27,Internship,Indeed,Selected,109025,4,2.8
324,Oracle,Data Analyst,2024-03-26,Contract,LinkedIn,Interview Scheduled,133850,3,2.8
325,Microsoft,Data Scientist,2024-04-01,Contract,Indeed,Selected,62658,4,2.8
326,Oracle,Data Analyst,2024-03-03,Full-time,Naukri,Rejected,36852,4,2.8
327,Google,Software Engineer,2024-03-01,Full-time,Indeed,Applied,124986,0,2.8
328,Uber,Software Engineer,2024-04-13,Contract,Indeed,Selected,32551,0,2.8
329,Google,Backend Developer,2024-02-18,Remote,Indeed,Selected,101947,4,2.8
330,Meta,Data Scientist,2024-03-11,Internship,LinkedIn,Applied,91001,1,2.8
331,Adobe,Frontend Developer,2024-01-01,Full-time,Indeed,Interview Scheduled,79159,4,2.8
332,Spotify,Backend Developer,2024-04-05,Full-time,LinkedIn,Applied,81707,4,2.8
333,Oracle,Data Scientist,2024-01-13,Contract,Company Website,Selected,63243,2,2.8
334,Spotify,Backend Developer,2024-04-03,Internship,Naukri,Interview Scheduled,51800,2,2.8
335,Oracle,Frontend Developer,2024-03-27,Contract,LinkedIn,Interview Scheduled,105939,2,2.8
336,Amazon,ML Engineer,2024-02-20,Internship,Company Website,Applied,87828,1,2.8
337,Microsoft,ML Engineer,2024-02-25,Internship,LinkedIn,Selected,37239,1,2.8
338,Meta,ML Engineer,2024-03-23,Internship,LinkedIn,Rejected,36710,4,2.8
339,Uber,ML Engineer,2024-03-02,Full-time,Naukri,Selected,51384,2,2.8
340,Oracle,AI Research Intern,2024-02-01,Remote,Referral,Phone Screen,51038,1,2.8
341,Spotify,Data Analyst,2024-01-30,Contract,Referral,Assessment Pending,70846,0,2.8
342,Meta,AI Research Intern,2024-01-29,Remote,LinkedIn,Rejected,117983,4,2.8
343,Netflix,AI Research Intern,2024-02-18,Contract,Indeed,Interview Scheduled,97821,3,2.8
344,Netflix,AI Research Intern,2024-02-14,Internship,Company Website,Rejected,67991,4,2.8
345,Google,ML Engineer,2024-04-02,Full-time,Indeed,Interview Scheduled,109057,3,2.8
346,Uber,Frontend Developer,2024-01-30,Remote,Indeed,Interview Scheduled,143193,2,2.8
347,Amazon,Software Engineer,2024-01-16,Full-time,LinkedIn,Rejected,36971,3,2.8
348,Spotify,Software Engineer,2024-02-09,Contract,LinkedIn,Interview Scheduled,59139,2,2.8
349,Microsoft,Data Analyst,2024-01-19,Full-time,LinkedIn,Interview Scheduled,115445,0,2.8
350,Microsoft,ML Engineer,2024-01-18,Full-time,LinkedIn,Phone Screen,107067,3,2.8
351,Spotify,ML Engineer,2024-01-01,Remote,Referral,Selected,110257,4,2.8
352,Adobe,ML Engineer,2024-03-18,Internship,LinkedIn,Selected,114742,2,2.8
353,Amazon,Backend Developer,2024-04-24,Full-time,Referral,Assessment Pending,67711,4,2.8
354,Meta,Data Scientist,2024-02-16,Internship,Referral,Assessment Pending,36530,1,2.8
355,Oracle,Backend Developer,2024-04-23,Contract,LinkedIn,Phone Screen,41116,2,2.8
356,Adobe,Data Scientist,2024-03-06,Full-time,Naukri,Assessment Pending,95794,3,2.8
357,Oracle,ML Engineer,2024-04-27,Remote,Company Website,Rejected,30282,2,2.8
358,Oracle,ML Engineer,2024-04-01,Contract,Indeed,Applied,109473,4,2.8
359,Adobe,Backend Developer,2024-04-22,Contract,Referral,Applied,31898,0,2.8
360,Google,Backend Developer,2024-04-23,Remote,Company Website,Applied,34135,2,2.8
361,Netflix,Data Scientist,2024-04-03,Full-time,Naukri,Phone Screen,36629,3,2.8
362,Oracle,Software Engineer,2024-02-07,Full-time,Indeed,Phone Screen,139472,1,2.8
363,Adobe,Data Scientist,2024-02-20,Contract,Indeed,Interview Scheduled,115120,0,2.8
364,Adobe,Backend Developer,2024-03-03,Full-time,Referral,Applied,149798,1,2.8
365,OpenAI,Frontend Developer,2024-01-04,Internship,LinkedIn,Rejected,119087,2,2.8
366,Google,Backend Developer,2024-01-01,Remote,Naukri,Assessment Pending,95031,4,2.8
367,Uber,Frontend Developer,2024-01-08,Internship,Referral,Rejected,63380,4,2.8
368,OpenAI,Data Analyst,2024-01-29,Full-time,Naukri,Assessment Pending,142507,3,2.8
369,OpenAI,Backend Developer,2024-02-24,Contract,LinkedIn,Applied,47071,4,2.8
370,Spotify,Data Analyst,2024-04-12,Remote,LinkedIn,Applied,50074,0,2.8
371,Netflix,Software Engineer,2024-01-03,Full-time,Referral,Applied,120724,4,2.8
372,Adobe,Data Scientist,2024-02-01,Full-time,LinkedIn,Phone Screen,97843,3,2.8
373,Netflix,Frontend Developer,2024-01-10,Contract,Company Website,Assessment Pending,69901,2,2.8
374,Amazon,Data Scientist,2024-03-14,Contract,Indeed,Phone Screen,41205,2,2.8
375,Spotify,Data Analyst,2024-03-23,Internship,Referral,Phone Screen,85661,4,2.8
376,Uber,Frontend Developer,2024-04-19,Remote,Naukri,Selected,35906,1,2.8
377,Netflix,Data Scientist,2024-02-03,Remote,Company Website,Rejected,32591,2,2.8
378,Microsoft,Backend Developer,2024-04-06,Contract,Referral,Rejected,92987,4,2.8
379,Oracle,ML Engineer,2024-03-27,Internship,LinkedIn,Interview Scheduled,93370,3,2.8
380,Amazon,Data Analyst,2024-02-24,Remote,LinkedIn,Phone Screen,110685,4,2.8
381,Google,Data Scientist,2024-04-01,Contract,LinkedIn,Assessment Pending,140454,2,2.8
382,Uber,Data Analyst,2024-02-01,Full-time,LinkedIn,Selected,135487,3,2.8
383,Amazon,AI Research Intern,2024-02-19,Remote,Naukri,Selected,84400,4,2.8
384,Oracle,Data Analyst,2024-01-07,Internship,Company Website,Rejected,55150,0,2.8
385,Spotify,Frontend Developer,2024-04-02,Internship,Indeed,Phone Screen,61852,3,2.8
386,Oracle,AI Research Intern,2024-01-08,Internship,Naukri,Interview Scheduled,72870,0,2.8
387,OpenAI,Frontend Developer,2024-03-05,Full-time,Naukri,Phone Screen,149796,1,2.8
388,Oracle,ML Engineer,2024-02-26,Remote,Indeed,Applied,82756,3,2.8
389,OpenAI,AI Research Intern,2024-04-28,Remote,Indeed,Phone Screen,145357,0,2.8
390,Spotify,Backend Developer,2024-03-07,Full-time,LinkedIn,Applied,149052,2,2.8
391,Meta,Data Analyst,2024-03-28,Remote,Naukri,Applied,86481,2,2.8
392,OpenAI,Data Scientist,2024-03-27,Full-time,Referral,Interview Scheduled,31283,1,2.8
393,Google,Software Engineer,2024-02-28,Full-time,Indeed,Assessment Pending,63691,3,2.8
394,Oracle,Data Analyst,2024-03-12,Full-time,Indeed,Rejected,31125,3,2.8
395,Oracle,Data Analyst,2024-02-23,Internship,Company Website,Phone Screen,97065,3,2.8
396,Google,ML Engineer,2024-04-20,Remote,Referral,Applied,56170,1,2.8
397,Microsoft,Backend Developer,2024-04-10,Full-time,Referral,Phone Screen,38438,3,2.8
398,Adobe,Software Engineer,2024-03-07,Remote,Indeed,Assessment Pending,50095,2,2.8
399,Meta,AI Research Intern,2024-02-20,Internship,LinkedIn,Rejected,46154,0,2.8
400,Uber,AI Research Intern,2024-04-06,Full-time,Company Website,Assessment Pending,38004,2,2.8
401,OpenAI,AI Research Intern,2024-04-01,Contract,Referral,Rejected,39752,2,2.8
402,Google,Frontend Developer,2024-04-20,Internship,Indeed,Selected,85426,0,2.8
403,Spotify,Frontend Developer,2024-01-08,Contract,Referral,Rejected,138896,2,2.8
404,OpenAI,Data Scientist,2024-02-03,Remote,Company Website,Interview Scheduled,56819,1,2.8
405,Adobe,Software Engineer,2024-02-04,Remote,Company Website,Assessment Pending,132168,0,2.8
406,Spotify,AI Research Intern,2024-04-05,Internship,Naukri,Applied,122051,2,2.8
407,Amazon,Frontend Developer,2024-03-28,Remote,Indeed,Selected,54217,4,2.8
408,Oracle,Data Scientist,2024-03-18,Contract,Company Website,Interview Scheduled,118708,2,2.8
409,Amazon,Backend Developer,2024-02-01,Full-time,Naukri,Phone Screen,62994,1,2.8
410,OpenAI,Data Scientist,2024-04-29,Full-time,Naukri,Assessment Pending,45036,3,2.8
411,Adobe,Frontend Developer,2024-02-15,Full-time,Referral,Applied,107275,2,2.8
412,Meta,ML Engineer,2024-04-16,Internship,Referral,Rejected,127756,3,2.8
413,OpenAI,ML Engineer,2024-01-16,Remote,Naukri,Applied,79416,4,2.8
414,Google,AI Research Intern,2024-03-08,Contract,Referral,Phone Screen,39587,2,2.8
415,Netflix,ML Engineer,2024-04-25,Remote,Company Website,Selected,140053,0,2.8
416,OpenAI,AI Research Intern,2024-02-06,Remote,LinkedIn,Selected,125665,3,2.8
417,Oracle,AI Research Intern,2024-02-23,Remote,Company Website,Assessment Pending,30645,4,2.8
418,Oracle,Frontend Developer,2024-03-25,Full-time,Naukri,Selected,60930,0,2.8
419,OpenAI,ML Engineer,2024-01-14,Contract,Naukri,Assessment Pending,111835,0,2.8
420,Spotify,AI Research Intern,2024-04-04,Contract,Company Website,Assessment Pending,60090,0,2.8
421,Netflix,Software Engineer,2024-02-24,Remote,Referral,Assessment Pending,117489,0,2.8
422,Google,Backend Developer,2024-02-17,Full-time,Referral,Rejected,82142,2,2.8
423,OpenAI,Data Scientist,2024-03-22,Full-time,Naukri,Interview Scheduled,141979,2,2.8
424,Spotify,Data Scientist,2024-01-07,Contract,Indeed,Assessment Pending,56475,2,2.8
425,Oracle,Frontend Developer,2024-03-14,Full-time,Referral,Assessment Pending,48888,4,2.8
426,Oracle,ML Engineer,2024-01-07,Full-time,Company Website,Interview Scheduled,73732,4,2.8
427,Adobe,ML Engineer,2024-02-02,Full-time,Referral,Applied,111623,4,2.8
428,OpenAI,AI Research Intern,2024-01-23,Internship,Company Website,Assessment Pending,76305,1,2.8
429,Netflix,Data Analyst,2024-03-25,Remote,Naukri,Rejected,76037,4,2.8
430,Microsoft,AI Research Intern,2024-01-19,Contract,Referral,Selected,39346,2,2.8
431,Netflix,Backend Developer,2024-04-21,Contract,Company Website,Selected,30587,2,2.8
432,Oracle,Software Engineer,2024-01-19,Internship,Naukri,Phone Screen,42763,1,2.8
433,Oracle,Data Scientist,2024-02-05,Remote,Indeed,Phone Screen,89165,1,2.8
434,Amazon,AI Research Intern,2024-01-29,Contract,Company Website,Selected,137481,4,2.8
435,Oracle,Data Analyst,2024-02-29,Full-time,Indeed,Selected,99615,3,2.8
436,Google,Data Analyst,2024-03-22,Contract,Indeed,Rejected,66116,1,2.8
437,Uber,AI Research Intern,2024-01-02,Full-time,LinkedIn,Interview Scheduled,115751,0,2.8
438,OpenAI,Frontend Developer,2024-01-01,Internship,Referral,Phone Screen,121353,2,2.8
439,Netflix,Data Scientist,2024-02-16,Full-time,Company Website,Interview Scheduled,120301,0,2.8
440,Uber,Frontend Developer,2024-03-09,Contract,Indeed,Rejected,125648,2,2.8
441,Spotify,Software Engineer,2024-01-20,Contract,LinkedIn,Selected,55556,2,2.8
442,Microsoft,Data Analyst,2024-01-11,Contract,Naukri,Assessment Pending,89042,1,2.8
443,Google,Data Analyst,2024-04-15,Internship,Company Website,Interview Scheduled,48099,1,2.8
444,Netflix,Backend Developer,2024-01-02,Internship,Indeed,Selected,139089,0,2.8
445,Uber,Software Engineer,2024-03-07,Remote,Referral,Selected,75096,2,2.8
446,Microsoft,Data Analyst,2024-03-27,Contract,LinkedIn,Applied,101986,0,2.8
447,Amazon,Software Engineer,2024-04-28,Full-time,Indeed,Interview Scheduled,43230,3,2.8
448,Google,Data Scientist,2024-01-12,Internship,Referral,Assessment Pending,59009,0,2.8
449,Google,ML Engineer,2024-01-20,Contract,Indeed,Interview Scheduled,100969,4,2.8
450,Amazon,Data Analyst,2024-01-05,Contract,Company Website,Selected,63866,0,2.8
451,OpenAI,Backend Developer,2024-02-06,Internship,Company Website,Assessment Pending,135400,4,2.8
452,Amazon,Data Scientist,2024-02-07,Remote,Company Website,Rejected,114246,4,2.8
453,Google,AI Research Intern,2024-04-03,Internship,LinkedIn,Applied,106975,4,2.8
454,Google,Software Engineer,2024-01-09,Internship,Company Website,Selected,71855,3,2.8
455,Uber,AI Research Intern,2024-04-07,Full-time,Referral,Phone Screen,111557,0,2.8
456,Oracle,Frontend Developer,2024-02-22,Full-time,Indeed,Phone Screen,36416,0,2.8
457,Microsoft,Data Scientist,2024-02-13,Remote,Naukri,Applied,102516,3,2.8
458,Amazon,AI Research Intern,2024-04-08,Contract,Referral,Rejected,85915,2,2.8
459,Microsoft,Data Analyst,2024-04-25,Internship,Referral,Selected,48058,1,2.8
460,Amazon,Software Engineer,2024-03-26,Remote,Company Website,Interview Scheduled,106637,0,2.8
461,Spotify,ML Engineer,2024-04-17,Full-time,LinkedIn,Applied,70718,1,2.8
462,Google,Data Scientist,2024-01-24,Internship,Indeed,Rejected,62602,3,2.8
463,Oracle,Data Analyst,2024-03-21,Contract,LinkedIn,Interview Scheduled,104658,2,2.8
464,Uber,Backend Developer,2024-03-14,Full-time,Indeed,Phone Screen,108112,2,2.8
465,Oracle,Frontend Developer,2024-01-30,Full-time,Indeed,Phone Screen,88067,2,2.8
466,Oracle,Software Engineer,2024-04-29,Full-time,LinkedIn,Interview Scheduled,57516,3,2.8
467,Oracle,Data Scientist,2024-02-28,Remote,Referral,Applied,117969,4,2.8
468,Microsoft,Data Scientist,2024-04-19,Contract,Indeed,Phone Screen,31089,4,2.8
469,Amazon,ML Engineer,2024-03-27,Internship,LinkedIn,Selected,67346,1,2.8
470,Meta,ML Engineer,2024-04-05,Remote,Indeed,Assessment Pending,104663,4,2.8
471,Spotify,Backend Developer,2024-03-21,Remote,Naukri,Interview Scheduled,40487,4,2.8
472,Netflix,Frontend Developer,2024-04-23,Remote,Referral,Interview Scheduled,30155,2,2.8
473,Oracle,Backend Developer,2024-04-24,Full-time,Company Website,Phone Screen,97494,2,2.8
474,OpenAI,Data Analyst,2024-03-21,Contract,Indeed,Applied,106229,1,2.8
475,Microsoft,Data Analyst,2024-01-14,Remote,Naukri,Selected,134648,0,2.8
476,Uber,Backend Developer,2024-01-09,Internship,Company Website,Applied,68547,1,2.8
477,Netflix,Frontend Developer,2024-02-09,Contract,Company Website,Rejected,58795,1,2.8
478,Meta,Backend Developer,2024-03-06,Internship,Indeed,Rejected,85296,3,2.8
479,OpenAI,Frontend Developer,2024-04-18,Contract,LinkedIn,Assessment Pending,51447,3,2.8
480,Meta,Frontend Developer,2024-01-25,Internship,Indeed,Phone Screen,66598,1,2.8
481,Netflix,AI Research Intern,2024-04-12,Full-time,Naukri,Phone Screen,71814,1,2.8
482,Oracle,Software Engineer,2024-03-13,Remote,Company Website,Phone Screen,120751,1,2.8
483,OpenAI,Frontend Developer,2024-04-27,Internship,Indeed,Assessment Pending,105330,4,2.8
484,Meta,ML Engineer,2024-01-22,Contract,LinkedIn,Rejected,128745,3,2.8
485,Uber,Frontend Developer,2024-04-16,Remote,Indeed,Applied,117960,1,2.8
486,Amazon,Frontend Developer,2024-04-19,Remote,Referral,Assessment Pending,93278,2,2.8
487,Google,Frontend Developer,2024-01-04,Contract,LinkedIn,Assessment Pending,85077,2,2.8
488,Amazon,AI Research Intern,2024-01-26,Internship,Naukri,Applied,142782,4,2.8
489,Netflix,AI Research Intern,2024-02-27,Full-time,Company Website,Phone Screen,132932,4,2.8
490,Microsoft,Data Analyst,2024-01-29,Full-time,Indeed,Selected,101906,0,2.8
491,Google,AI Research Intern,2024-04-18,Internship,LinkedIn,Applied,39528,0,2.8
492,Spotify,ML Engineer,2024-04-07,Remote,Referral,Rejected,123812,0,2.8
493,Uber,ML Engineer,2024-03-27,Remote,LinkedIn,Interview Scheduled,80100,4,2.8
494,Spotify,AI Research Intern,2024-02-06,Remote,Referral,Interview Scheduled,139869,4,2.8
495,OpenAI,Backend Developer,2024-03-15,Remote,Naukri,Assessment Pending,38179,4,2.8
496,Google,Software Engineer,2024-03-10,Internship,Company Website,Interview Scheduled,78781,2,2.8
497,Spotify,AI Research Intern,2024-01-18,Remote,Naukri,Selected,85267,4,2.8
498,Spotify,Frontend Developer,2024-03-25,Contract,Indeed,Phone Screen,112379,2,2.8
499,Meta,Data Scientist,2024-02-11,Remote,LinkedIn,Rejected,53952,0,2.8
500,Amazon,Software Engineer,2024-04-09,Full-time,Referral,Selected,83798,0,2.8
